Fecha,Año,Mes,Hora,Modalidad de Entrenamiento,Categoría de Entrenamiento,Tipo de Entrenamiento,Objetivo del Entrenamiento,Distancia Total (m),Tiempo Total (m),Paladas por minuto,Ritmo (min/500m),Ritmo (min/km),Velocidad (km/h),Frecuencia Cardíaca Recomendada,Frecuencia Cardíaca Media,Calorias,Horas de Sueño,Ayuno,Café,Comentarios
02/09/2024,2024,September,Mañana,Carrera - Exterior,Entrenamiento Continuo,10km,Umbral Anaeróbico,10000,53.53,,,5.35,11.21,140-160,161,776,5:58:00,Ayuno Estricto (Autofagia),Sí,Málaga Paseo Marítimo
04/09/2024,2024,September,Mañana,Carrera - Exterior,Entrenamiento Continuo,Otros continuos,Umbral Anaeróbico,7000,35.06,,,5.01,11.98,140-160,155,520,6:27:00,Ayuno Estricto (Autofagia),Sí,Málaga Paseo Marítimo
11/09/2024,2024,September,Mañana,Ergómetro,Series Largas,2x6000,Umbral Anaeróbico,6000,22.08,17,1.50,,,140-160,150,325,8:48:00,Ayuno con Fruta o Batido,Sí,Vuelta de Vacaciones
11/09/2024,2024,September,Mañana,Ergómetro,Series Largas,2x6000,Umbral Anaeróbico,6000,21.54,18,1.48,,,140-160,150,325,8:48:00,Ayuno con Fruta o Batido,Sí,Vuelta de Vacaciones
12/09/2024,2024,September,Mañana,Carrera - Cinta,Entrenamiento Continuo,Otros continuos,Aeróbico Base,5000,28.00,,,5.60,10.71,120-140,140,361,8:28:00,Ayuno con Fruta o Batido,Sí,Me dolía la rodilla y no quise forzar
13/09/2024,2024,September,Media Mañana,Ergómetro,Test,2000,Anaeróbico Alta Intensidad (HIIT),2000,7.01,25,1.45,,,160-Máx,,,7:00:00,Ayuno con Fruta o Batido,Sí,Test después de sesión de piernas
15/09/2024,2024,September,Tarde,Carrera - Exterior,Entrenamiento Continuo,Otros continuos,Umbral Anaeróbico,8700,47.21,,,5.43,11.06,140-160,156,685,8:38:00,No,Sí,Circuito Cardanachama
17/09/2024,2024,September,Mañana,Ergómetro,Pirámides,1-2-3-2-1,Anaeróbico Alta Intensidad (HIIT),3530,14.00,22,1.59,,,160-Máx,160,200,8:16:00,Ayuno con Fruta o Batido,Sí,Pirámides con 1 minuto suave entre subidas y 5 de descanso entre series
17/09/2024,2024,September,Mañana,Ergómetro,Pirámides,1-2-3-2-1,Anaeróbico Alta Intensidad (HIIT),3718,14.00,22,1.53,,,160-Máx,162,222,8:16:00,Ayuno con Fruta o Batido,Sí,Pirámides con 1 minuto suave entre subidas y 5 de descanso entre series
17/09/2024,2024,September,Tarde,Carrera - Exterior,Entrenamiento Continuo,40 minutos,Aeróbico Base,6940,40.00,,,5.76,10.41,120-140,145,560,8:16:00,No,Sí,2º Entrenamiento del día - Carrera Cardanachama suave 40 minutos
